Periodo,Taxa
1994.09,2.4391
1994.10,2.5551
1994.11,2921
1994.12,2.8731
1995.01,2.1013
1995.02,1.8531
1995.03,2.2998
1995.04,3.4667
1995.05,3.2471
1995.06,2.8863
1995.07,2.9905
1995.08,2.6045
1995.09,1.9393
1995.10,1654
1995.11,1.4387
1995.12,1.34
1996.01,1.2526
1996.02,0.9625
1996.03,0.8139
1996.04,0.6597
1996.05,0.5888
1996.06,0.6099
1996.07,0.5851
1996.08,0.6275
1996.09,662
1996.10,0.7419
1996.11,0.8146
1996.12,0.8717
1997.01,744
1997.02,0.6616
1997.03,0.6316
1997.04,0.6211
1997.05,0.6354
1997.06,0.6535
1997.07,658
1997.08,627
1997.09,0.6474
1997.10,0.6553
1997.11,1.5334
1997.12,1.3085
1998.01,1.1459
1998.02,0.4461
1998.03,0.8995
1998.04,472
1998.05,0.4543
1998.06,0.4913
1998.07,0.5503
1998.08,0.3749
1998.09,0.4512
1998.10,0.8892
1998.11,0.6136
1998.12,0.7434
1999.01,0.5163
1999.02,0.8298
1999.03,1.1614
1999.04,0.6092
1999.05,0.5761
1999.06,0.3108
1999.07,0.2933
1999.08,0.2945
1999.09,0.2715
1999.10,0.2265
1999.11,0.1998
1999.12,0.2998
2000.01,0.2149
2000.02,0.2328
2000.03,0.2242
2000.04,0.1301
2000.05,0.2492
2000.06,214
2000.07,0.1547
2000.08,0.2025
2000.09,0.1038
2000.10,0.1316
2000.11,0.1197
2000.12,0.0991
2001.01,0.1369
2001.02,0.0368
2001.03,0.1724
2001.04,0.1546
2001.05,0.1827
2001.06,0.1458
2001.07,0.2441
2001.08,0.3436
2001.09,0.1627
2001.10,0.2913
2001.11,0.1928
2001.12,0.1983
2002.01,0.2591
2002.02,0.1171
2002.03,0.1758
2002.04,0.2357
2002.05,0.2102
2002.06,0.1582
2002.07,0.2656
2002.08,0.2481
2002.09,0.1955
2002.10,0.2768
2002.11,0.2644
2002.12,0.3609
2003.01,0.4878
2003.02,0.4116
2003.03,0.3782
2003.04,0.4184
2003.05,465
2003.06,0.4166
2003.07,0.5465
2003.08,0.4038
2003.09,0.3364
2003.10,0.3213
2003.11,0.1776
2003.12,0.1899
2004.01,128
2004.02,0.0458
2004.03,0.1778
2004.04,0.0874
2004.05,0.1546
2004.06,0.1761
2004.07,0.1952
2004.08,0.2005
2004.09,0.1728
2004.10,0.1108
2004.11,0.1146
2004.12,0.24
2005.01,188
2005.02,0.0962
2005.03,0.2635
2005.04,0.2003
2005.05,0.2527
2005.06,0.2993
2005.07,0.2575
2005.08,0.3466
2005.09,0.2637
2005.10,0.21
2005.11,0.1929
2005.12,0.2269
2006.01,0.2326
2006.02,0.0725
2006.03,0.2073
2006.04,0.0855
2006.05,0.1888
2006.06,0.1937
2006.07,0.1751
2006.08,0.2436
2006.09,0.1521
2006.10,0.1875
2006.11,0.1282
2006.12,0.1522
2007.01,0.2189
2007.02,0.0721
2007.03,0.1876
2007.04,0.1272
2007.05,0.1689
2007.06,0.0954
2007.07,0.1469
2007.08,0.1466
2007.09,0.0352
2007.10,0.0832
2007.11,59
2007.12,64
2008.01,101
2008.02,0.0243
2008.03,0.0207
2008.04,0.0955
2008.05,0.0736
2008.06,0.1146
2008.07,0.1914
2008.08,0.1574
2008.09,197
2008.10,0.2506
2008.11,0.1618
2008.12,0.2149
2009.01,184
2009.02,0.0451
2009.03,0.0871
2009.04,0.0454
2009.05,0.0449
2009.06,0.0656
2009.07,81
2009.08,0.0197
2009.09,0
2009.10,0
2009.11,0
2009.12,0.0533
2010.01,0
2010.02,0
2010.03,0.0792
2010.04,0
2010.05,51
2010.06,0.0589
2010.07,0.1151
2010.08,0.0909
2010.09,0.0702
2010.10,0.0472
2010.11,0.0336
2010.12,0.0937
2011.01,0.0715
2011.02,0.0524
2011.03,0.1212
2011.04,0.0369
2011.05,157
2011.06,0.1114
2011.07,0.1229
2011.08,0.2076
2011.09,0.1003
2011.10,62
2011.11,0.0645
2011.12,0.0937
2012.01,0.0864
2012.02,0
2012.03,0.1068
2012.04,0.0227
2012.05,0.0468
2012.06,0
2012.07,0.0144
2012.08,0.0123
2012.09,0
2012.10,0
2012.11,0
2012.12,0
2013.01,0
2013.02,0
2013.03,0
2013.04,0
2013.05,0
2013.06,0
2013.07,0.0209
2013.08,0
2013.09,0.0079
2013.10,92
2013.11,0.0207
2013.12,0.0494
2014.01,0.1126
2014.02,0.0537
2014.03,0.0266
2014.04,0.0459
2014.05,0.0604
2014.06,0.0465
2014.07,0.1054
2014.08,0.0602
2014.09,0.0873
2014.10,0.1038
2014.11,0.0483
2014.12,0.1053
2015.01,0.0878
2015.02,0.0168
2015.03,0.1296
2015.04,0.1074
2015.05,0.1153
2015.06,0.1813
2015.07,0.2305
2015.08,0.1867
2015.09,192
2015.10,179
2015.11,0.1297
2015.12,225
2016.01,132
2016.02,0.0957
2016.03,0.2168
2016.04,0.1304
2016.05,0.1533
2016.06,0.2043
2016.07,0.1621
2016.08,0.2545
2016.09,0.1575
2016.10,0.1601
2016.11,0.1428
2016.12,0.1849
2017.01,0.17
2017.02,0.0302
2017.03,0.1519
2017.04,0
2017.05,0.0764
2017.06,0.0536
2017.07,0.0623
2017.08,0.0509
2017.09,0
2017.10,0
2017.11,0
