"bairro";"quantidade";"latitude";"longitude"
"Saúde";0;-22,8978274;-43,1971703
"Gamboa";8;-22,9006546;-43,2068741
"Santo Cristo";13;-22,8760586;-43,2347236
"Caju";42;-22,9005461;-43,1868947
"Centro";54;-22,9196936;-43,2022035
"Catumbi";22;-22,9273823;-43,2171267
"Rio Comprido";40;-22,9096163;-43,2067639
"Cidade Nova";20;-22,9165464;-43,2078261
"Estácio";13;-22,8972043;-43,2322125
"São Cristóvão";26;-22,9046425;-43,2371099
"Mangueira";8;-22,8919094;-43,2512916
"Benfica ";27;-22,7766835;-43,1368552
"Paquetá";26;-22,9318655;-43,2157778
"Santa Teresa";34;-22,9353836;-43,1794754
"Flamengo";4;-22,920458;-43,1827152
"Glória";2;-22,9359414;-43,1974938
"Laranjeiras";6;-22,927312;-43,1868372
"Catete";19;-22,9416415;-43,2068734
"Cosme Velho";1;-22,9511872;-43,1944333
"Botafogo";43;-22,9554446;-43,2065925
"Humaitá";3;-22,9476217;-43,1708935
"Urca";0;-22,9618711;-43,1708913
"Leme";2;-22,9732508;-43,1945315
"Copacabana";35;-22,9844258;-43,206392
"Ipanema";4;-22,983729;-43,230062
"Leblon";5;-22,9694925;-43,2193101
"Lagoa";5;-22,9643227;-43,2322289
"Jardim Botânico";4;-22,9806435;-43,2500991
"Gávea";7;-22,9950755;-43,245193
"Vidigal";12;-22,9923352;-43,2761872
"São Conrado";0;-22,9898181;-43,25292
"Rocinha";47;-22,9137089;-43,2187243
"Praça da Bandeira";2;-22,9315406;-43,2587895
"Tijuca";210;-22,9595555;-43,2694121
"Alto da Boa Vista";2;-22,9159597;-43,2383451
"Maracanã";5;-22,9157015;-43,2532272
"Vila Isabel";50;-22,9290185;-43,2639447
"Andaraí";16;-22,9301013;-43,2786109
"Grajaú";12;-22,8790392;-43,2528441
"Manguinhos";17;-22,8666775;-43,2647464
"Bonsucesso";71;-22,8509625;-43,266234
"Ramos";33;-22,8457786;-43,2821915
"Olaria";53;-22,8355308;-43,2848336
"Penha";48;-22,8324744;-43,3053499
"Penha Circular";44;-22,8292412;-43,3078253
"Brás de Pina";33;-22,8745243;-43,2672967
"Higienópolis";10;-22,8831322;-43,2671475
"Maria da Graça";2;-22,8797934;-43,2768812
"Del Castilho";12;-22,8699953;-43,2900131
"Inhaúma";32;-22,8627091;-43,3053384
"Engenho da Rainha";15;-22,8665728;-43,3150773
"Tomás Coelho";4;-22,8933461;-43,2622151
"Jacaré";5;-22,9027285;-43,2473363
"São Francisco Xavier";2;-22,8994451;-43,2578213
"Rocha";4;-22,9020916;-43,2600662
"Riachuelo";10;-22,902283;-43,2653668
"Sampaio";9;-22,9079637;-43,2767591
"Engenho Novo";20;-22,9128853;-43,2927771
"Lins de Vasconcelos";5;-22,9014103;-43,291011
"Méier";25;-22,8945514;-43,2892677
"Todos os Santos";10;-22,890666;-43,279095
"Cachambi";10;-22,9013576;-43,3116836
"Engenho de Dentro";16;-22,9106075;-43,3172119
"Água Santa";1;-22,8971359;-43,3078845
"Encantado";4;-22,8928615;-43,3226216
"Piedade";7;-22,885549;-43,3039324
"Abolição";2;-22,8797208;-43,3048474
"Pilares";9;-22,8537126;-43,3067842
"Vila Cosmos";29;-22,8562208;-43,3199831
"Vicente de Carvalho";12;-22,8432656;-43,3140024
"Vila da Penha";35;-22,8295157;-43,3158923
"Vista Alegre";24;-22,8341982;-43,3453138
"Irajá";102;-22,8402483;-43,3408223
"Colégio";26;-22,8842324;-43,3534006
"Campinho";4;-22,8956764;-43,3335899
"Quintino Bocaiúva";7;-22,8717401;-43,3214435
"Cavalcanti";7;-22,8745624;-43,3282726
"Engenheiro Leal";5;-22,8860899;-43,3372086
"Cascadura";16;-22,8715043;-43,3457035
"Madureira";14;-22,8591328;-43,3332428
"Vaz Lobo";7;-22,8622767;-43,3466822
"Turiaçu";10;-22,8489989;-43,3549932
"Rocha Miranda";29;-22,8475631;-43,3617226
"Honório Gurgel";7;-22,8718353;-43,3588613
"Oswaldo Cruz";20;-22,8671742;-43,3695412
"Bento Ribeiro";22;-22,8619918;-43,3788714
"Marechal Hermes";19;-22,8215712;-43,1750551
"Ribeira";0;-22,821315;-43,1784841
"Zumbi";4;-22,8230752;-43,1911393
"Cacuia";9;-22,8163635;-43,1828216
"Pitangueiras";4;-22,8098237;-43,1770028
"Praia da Bandeira";1;-22,8052845;-43,1847995
"Cocotá";4;-22,7926803;-43,1886645
"Bancários";4;-22,783498;-43,1677582
"Freguesia";8;-22,8121958;-43,2054477
"Jardim Guanabara";18;-22,8059258;-43,198422
"Jardim Carioca";22;-22,7972079;-43,1963957
"Tauá";18;-22,796755;-43,1990546
"Moneró";4;-22,7989275;-43,2109672
"Portuguesa";6;-22,8086201;-43,2557738
"Galeão";25;-22,8533996;-43,2344946
"Cidade Universitária";0;-22,8376337;-43,3828975
"Guadalupe";11;-22,8242711;-43,4073308
"Anchieta";14;-22,8358738;-43,4240425
"Parque Anchieta";2;-22,8367693;-43,4064971
"Ricardo de Albuquerque";11;-22,8356477;-43,3593004
"Coelho Neto";16;-22,8212169;-43,3460417
"Acari";14;-22,8363918;-43,3743718
"Barros Filho";13;-22,8239504;-43,3740587
"Costa Barros";25;-22,81437;-43,376456
"Pavuna";33;-22,8888548;-43,261252
"Jacarezinho";5;-22,8609215;-43,2759577
"Complexo do Alemão";60;-22,8580068;-43,2618334
"Maré";15;-22,8175928;-43,3016801
"Cordovil";18;-22,8159036;-43,3109673
"Parada de Lucas";16;-22,8097848;-43,3190078
"Vigário Geral";54;-22,8102457;-43,3324
"Jardim América";72;-22,9447573;-43,4109027
"Jacarepaguá";51;-22,9576059;-43,3470732
"Anil";25;-22,9633948;-43,3591434
"Gardênia Azul";14;-22,9502606;-43,3990914
"Curicica";32;-22,9300668;-43,3587003
"Freguesia (Jacarepaguá)";33;-22,9305277;-43,3631684
"Pechincha";20;-22,925025;-43,4070307
"Taquara";42;-22,9149805;-43,3649534
"Tanque";12;-22,8979227;-43,3610209
"Praça Seca";17;-22,8897481;-43,3749809
"Vila Valqueire";11;-23,0090804;-43,2905455
"Joá";0;-22,9851908;-43,3299771
"Itanhangá";10;-22,9934772;-43,4024853
"Barra da Tijuca";32;-22,9679435;-43,4482909
"Camorim";1;-22,9791731;-43,478597
"Vargem Pequena";19;-22,9762163;-43,5186703
"Vargem Grande";8;-23,0151422;-43,5170546
"Recreio dos Bandeirantes";31;-23,054358;-43,546891
"Grumari";0;-22,9474685;-43,3671787
"Cidade de Deus ";71;-22,8802511;-43,4685322
"Padre Miguel";57;-22,8651302;-43,5232071
"Bangu";378;-22,8978814;-43,5072944
"Senador Camará";282;-22,8776834;-43,52897
"Santíssimo";152;-22,8876756;-43,5838924
"Campo Grande";470;-22,8950422;-43,5382338
"Senador Vasconcelos";40;-22,9119169;-43,6107161
"Inhoaíba";245;-22,9106379;-43,6300195
"Cosmos";122;-22,8971085;-43,6728025
"Paciência";225;-22,9132376;-43,7399659
"Santa Cruz";321;-22,9685917;-43,7130544
"Sepetiba";22;-22,9967081;-43,6313071
"Guaratiba";166;-22,8886846;-43,5437461
"Barra de Guaratiba";5;-22,9976748;-43,648822
"Pedra de Guaratiba";122;-22,8520421;-43,3953539
"Deodoro";2;-22,8616018;-43,4214516
"Vila Militar";1;-22,8772371;-43,3943153
"Campo dos Afonsos";0;-22,895691;-43,4048147
"Jardim Sulacap";7;-22,8722528;-43,4215025
"Magalhães Bastos";12;-22,8784762;-43,4730305
"Realengo";139;-22,8784762;-43,4730305
